Keyword,Ad Group,Campaign,Match Type,Current URL,Current Intent Level,Recommended URL (with anchor if applicable),Recommended Intent Level,Anchor Section Topic,Relevance Score (1-10),CTA on Page,Rationale,Gap Flag,Priority
[kibo commerce],Kibo,Search - Brand,Exact,Not specified,Unknown,https://kibocommerce.com/,HIGH,Main page,9,Request Demo; Talk to Sales,"Keyword matches ""kibo commerce|kibo platform"" pattern",No,High
[wholesale trade portal],NB - Wholesalers,Search - NonBrand,Exact,https://kibocommerce.com/ppc/wholesale/#b2b-commerce,Medium,https://kibocommerce.com/ppc/wholesale/,HIGH,Main page,9,Request Demo; Talk to Sales,"Keyword matches ""wholesal"" pattern",No,High
[wholesale b2b portal],NB - Wholesalers,Search - NonBrand,Exact,https://kibocommerce.com/ppc/wholesale/#b2b-commerce,Medium,https://kibocommerce.com/ppc/wholesale/,HIGH,Main page,9,Request Demo; Talk to Sales,"Keyword matches ""wholesal"" pattern",No,High
[kibo oms],OMS,Search - Brand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/order-management/,HIGH,Main page,9,Request Demo; Talk to Sales,"Keyword matches ""oms|order management|fulfillment"" pattern",No,High
[b2b trade portal],NB - General B2B,Search - NonBrand,Exact,https://kibocommerce.com/ppc/wholesale/#b2b-commerce,Medium,https://kibocommerce.com/,HIGH,Main page,9,Request Demo; Talk to Sales,Default brand term - homepage,No,High
[kibo ai commerce],Kibo,Search - Brand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/agentic-commerce/,HIGH,Main page,9,Request Demo; Talk to Sales,"Keyword matches ""agentic|ai commerce|artificial intelligence"" pattern",No,High
[kibo software],Kibo,Search - Brand,Exact,Not specified,Unknown,https://kibocommerce.com/,HIGH,Main page,9,Request Demo; Talk to Sales,Default brand term - homepage,No,High
[kibo ecommerce],Kibo,Search - Brand,Exact,Not specified,Unknown,https://kibocommerce.com/,HIGH,Main page,9,Request Demo; Talk to Sales,Default brand term - homepage,No,High
[manufacturing order management system],NB - Manufacturers,Search - NonBrand,Exact,https://kibocommerce.com/ppc/manufacturing/#form,Medium,https://kibocommerce.com/platform/order-management/,HIGH,Main page,9,Request Demo; Talk to Sales,"Keyword matches ""oms|order management|fulfillment"" pattern",No,Medium
[wholesale order management system],NB - Wholesalers,Search - NonBrand,Exact,https://kibocommerce.com/ppc/wholesale/#order-management,Medium,https://kibocommerce.com/platform/order-management/,HIGH,Main page,9,Request Demo; Talk to Sales,"Keyword matches ""oms|order management|fulfillment"" pattern",No,Medium
[kibo ecommerce platform],Kibo,Search - Brand,Exact,Not specified,Unknown,https://kibocommerce.com/,HIGH,Main page,9,Request Demo; Talk to Sales,Default brand term - homepage,No,High
[kibo platform],Kibo,Search - Brand,Exact,Not specified,Unknown,https://kibocommerce.com/,HIGH,Main page,9,Request Demo; Talk to Sales,"Keyword matches ""kibo commerce|kibo platform"" pattern",No,High
[distributor inventory management],NB - Distributors,Search - NonBrand,Exact,https://kibocommerce.com/ppc/distributor/#form,Medium,https://kibocommerce.com/platform/inventory-visibility/,HIGH,Main page,9,Request Demo; Talk to Sales,"Keyword matches ""inventory|stock"" pattern",No,Medium
[kibo order management],OMS,Search - Brand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/order-management/,HIGH,Main page,9,Request Demo; Talk to Sales,"Keyword matches ""oms|order management|fulfillment"" pattern",No,High
[kibo agentic commerce],Kibo,Search - Brand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/agentic-commerce/,HIGH,Main page,9,Request Demo; Talk to Sales,"Keyword matches ""agentic|ai commerce|artificial intelligence"" pattern",No,Medium
[kibo order management system],OMS,Search - Brand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/order-management/,HIGH,Main page,9,Request Demo; Talk to Sales,"Keyword matches ""oms|order management|fulfillment"" pattern",No,Low
[b2b dealer portal],NB - General B2B,Search - NonBrand,Exact,https://kibocommerce.com/ppc/manufacturing/#b2b-commerce,Medium,https://kibocommerce.com/,HIGH,Main page,9,Request Demo; Talk to Sales,Default brand term - homepage,No,Low
[wholesale volume based pricing],NB - Wholesalers,Search - NonBrand,Exact,https://kibocommerce.com/ppc/wholesale/,Medium,https://kibocommerce.com/request-a-demo/,HIGH,Main page,9,Request Demo; Talk to Sales,"Keyword matches ""pricing|cost|price"" pattern",No,Low
