Keyword,Ad Group,Campaign,Match Type,Current URL,Current Intent Level,Recommended URL (with anchor if applicable),Recommended Intent Level,Anchor Section Topic,Relevance Score (1-10),CTA on Page,Rationale,Gap Flag,Priority
[b2b commerce platform],B2B EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,9,Watch Demo; Talk to Sales,Primary B2B solution page with quote-to-cash messaging and full platform overview,No,High
[unified commerce platform],B2B EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/,HIGH,Homepage hero,9,Watch Demo; Talk to Sales,Homepage prominently features unified commerce positioning in H1 and hero section,No,High
[headless b2b ecommerce],B2B EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,8,Watch Demo; Talk to Sales,B2B page mentions headless/microservices architecture; could benefit from dedicated anchor,No,Medium
[multi-location inventory management],B2B EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/inventory-visibility/,HIGH,Main page,10,Learn More; Contact Sales,Dedicated inventory visibility page covers multi-location inventory management specifically,No,High
[b2b ecommerce services],B2B EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,8,Watch Demo; Talk to Sales,B2B solutions page covers services comprehensively with industry-specific capabilities,No,Medium
[unified commerce],B2B EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/,HIGH,Homepage hero,9,Watch Demo; Talk to Sales,Homepage H1 emphasizes unified commerce positioning - exact keyword match in messaging,No,High
[b2b ecommerce system],B2B EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,9,Watch Demo; Talk to Sales,B2B solutions page presents complete system overview with modularity emphasis,No,High
[top b2b ecommerce platforms],B2B EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,8,Watch Demo; Talk to Sales,B2B page with Gartner recognition addresses platform comparison intent,No,Medium
[b2b ecommerce integration],B2B EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/connect-hub/,MEDIUM,Main page,8,Learn More; Contact Sales,Connect Hub page specifically addresses integration capabilities; alternative: /solutions/b2b/,No,Medium
[b2b commerce solution],B2B EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,9,Watch Demo; Talk to Sales,Exact match to page positioning - unified B2B commerce solution messaging,No,High
[b2b commerce software],B2B EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,9,Watch Demo; Talk to Sales,B2B solutions page covers software capabilities comprehensively,No,High
[best b2b ecommerce platforms],B2B EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,8,Watch Demo; Talk to Sales,B2B page with analyst recognition (Gartner/Forrester) addresses comparison intent,No,High
[b2b ecommerce solution],B2B EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,9,Watch Demo; Talk to Sales,Exact terminology match - B2B solution page addresses all solution needs,No,High
[b2b mobile commerce],B2B EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/solutions/b2b/,HIGH,Main page,6,Watch Demo; Talk to Sales,B2B page covers omnichannel but lacks explicit mobile commerce content,Content Gap,Low
[b2b catalog management],B2B EComm,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/platform/catalog-price-promo/,HIGH,Main page,9,Learn More; Contact Sales,Dedicated catalog/pricing/promotions page directly addresses catalog management,No,High
[distributor inventory management],NB - Distributors,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/distributor/#form,HIGH,Form section,9,Talk to Expert; Speak with Expert,PPC distributor page with inventory management focus and direct contact form,No,High
[wholesale order management system],NB - Wholesalers,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/wholesale/#order-management,HIGH,Order management section,10,Talk to Expert; Speak with Expert,PPC wholesale page with dedicated order management section anchor,No,High
[wholesale ecommerce platform],NB - Wholesalers,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/wholesale/,HIGH,Main page,10,Talk to Expert; Speak with Expert,Dedicated wholesale ecommerce PPC page with specific wholesale capabilities,No,High
[wholesale distribution platform],NB - Wholesalers,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/wholesale/,HIGH,Main page,9,Talk to Expert; Speak with Expert,Wholesale PPC page covers distribution capabilities for wholesalers,No,High
[wholesale b2b portal],NB - Wholesalers,Search - NonBrand,Exact,Not specified,Unknown,https://kibocommerce.com/ppc/wholesale/#b2b-commerce,HIGH,B2B commerce section,9,Talk to Expert; Speak with Expert,Wholesale page with B2B portal/self-service content in dedicated section,No,High
